Title,Date,Rating,Genre,Director,IMDB
Beasts of No Nation,11/7/2015,4,Drama,Cary Joji Fukunaga,http://www.imdb.com/title/tt1365050/
Ant-Man,11/14/2015,3,Action,Peyton Reed,http://www.imdb.com/title/tt0478970/
The End of the Tour,11/14/2015,3,Drama,James Ponsoldt,http://www.imdb.com/title/tt3416744/
Amy,11/14/2015,2,Documentary,Asif Kapadia,http://www.imdb.com/title/tt2870648/
Southpaw,11/14/2015,3,Drama,Antoine Fuqua,http://www.imdb.com/title/tt1798684/
Entourage,11/14/2015,2,Comedy,Doug Ellin,http://www.imdb.com/title/tt1674771/
The Wolfpack,11/15/2015,3,Documentary,Crystal Moselle,http://www.imdb.com/title/tt2415458/
Unfinished Business,11/20/2015,1,Comedy,Ken Scott,http://www.imdb.com/title/tt2358925/
Evolution,11/21/2015,2,Comedy,Ivan Reitman,http://www.imdb.com/title/tt0251075/
Jessica Jones,11/23/2015,3,Action,Melissa Rosenberg,http://www.imdb.com/title/tt2357547/
Listen to Me Marlon,11/23/2015,3,Documentary,Stevan Riley,http://www.imdb.com/title/tt4145178/
Spy,11/25/2015,2,Action,Paul Feig,http://www.imdb.com/title/tt3079380/
Ted 2,11/25/2015,2,Comedy,Seth MacFarlane,http://www.imdb.com/title/tt2637276/
Pixels,11/25/2015,3,Comedy,Chris Columbus,http://www.imdb.com/title/tt2120120/
Cocaine Cowboys,11/28/2015,3,Documentary,Billy Corben,http://www.imdb.com/title/tt0380268/
Keep on Keepin' On,11/29/2015,3,Documentary,Alan Hicks,http://www.imdb.com/title/tt2674040/
The Gunman,12/4/2015,2,Action,Pierre Morel,http://www.imdb.com/title/tt2515034/
Don Jon,12/5/2015,2,Comedy,Joseph Gordon-Levitt,http://www.imdb.com/title/tt2229499/
Lords of Dogtown,12/6/2015,3,Biography,Catherine Hardwicke,http://www.imdb.com/title/tt0355702/
Motivation 2: The Chris Cole Story,12/7/2015,3,Documentary,Adam Bhala Lough,http://www.imdb.com/title/tt4397414/
The Counselor,12/10/2015,2,Crime,Ridley Scott,http://www.imdb.com/title/tt2193215/
The Ridiculous 6,12/12/2015,1,Comedy,Frank Coraci,http://www.imdb.com/title/tt2479478/
Star Wars: The Force Awakens,12/17/2015,4,Action,J.J. Abrams,http://www.imdb.com/title/tt2488496/
Dealer,12/17/2015,2,Crime,Jean Luc Herbulot,http://www.imdb.com/title/tt3670826/
Wild Card,12/17/2015,2,Action,Simon West,http://www.imdb.com/title/tt2231253/
Old Boy,12/18/2015,2,Drama,Spike Lee,http://www.imdb.com/title/tt1321511/
The Watchmaker's Apprentice,12/19/2015,3,Documentary,David Armstrong,http://www.imdb.com/title/tt2958390/
Yves Saint Laurent,12/28/2015,3,Biography,Jalil Lespert,http://www.imdb.com/title/tt2707858/
Beltracchi: The Art of Forgery,12/29/2015,3,Documentary,Arne Birkenstock,http://www.imdb.com/title/tt3212568/
X+Y,12/29/2015,3,Drama,Morgan Matthew,http://www.imdb.com/title/tt3149038/
Star Wars: The Force Awakens,12/30/2015,4,Action,J.J. Abrams,http://www.imdb.com/title/tt2488496/
